entity_id,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen,source_record_count,source_row_numbers
kestrelsecurity-com,"Kestrel,Security",kestrel security,kestrelsecurity.com,Hospitality,United States,125,,,info@kestrel.com,,,4,"23,235,394,420"
cedarsystemsgroup-com,cedar systems group ltd,cedar systems,cedarsystemsgroup.com,Healthcare,,42,,,info@cedar.com,,,2,"24,59"
onyxmining-com,Onyx Mining Ltd.,onyx mining,onyxmining.com,Insurance,Australia,5,,,info@onyx.com,,,5,"25,243,378,430,65"
graniteinsurancegl-com,Granite Insurance Global Inc.,granite insurance global,graniteinsurancegl.com,,United Kingdom,5,,,info@granite.com,,,2,"26,384"
verdantlandscaping-com,Verdant Landscaping LLC,verdant landscaping,verdantlandscaping.com,Software,CA,450,,,info@verdant.com,,,13,"27,99,107,165,215,264,306,317,346,381,401,425,483"
saffronspices-com,saffron spices co,saffron spices,saffronspices.com,Gaming,United States,42,,,info@saffron.com,,,4,"28,263,273,133"
nimbuscloudholding-com,Nimbus Cloud Holdings Incorporated,nimbus cloud incorporated,nimbuscloudholding.com,Media,Australia,125,,,info@nimbus.com,,,1,29
zephyrdronesglobal-com,"Zephyr,Drones Global LLC",zephyr drones global,zephyrdronesglobal.com,,United Kingdom,40,,,info@zephyr.com,,,1,31
vantafoodspartners-com,VANTA FOODS PARTNERS CO.,vanta foods partners,vantafoodspartners.com,Telecom,United States,125,,,info@vanta.com,,,1,32
lumenretail-com,"Lumen,Retail Incorporated",lumen retail incorporated,lumenretail.com,Hospitality,United States,1200,,,info@lumen.com,,,3,"33,131,236"
graniteinsuranceho-com,GRANITE INSURANCE HOLDINGS,granite insurance,graniteinsuranceho.com,Finance,United States,1000,,,info@granite.com,,,3,"34,42,257"
halcyonpharmapartn-com,Halcyon Pharma Partners Co,halcyon pharma partners,halcyonpharmapartn.com,Gaming,United Kingdom,70,,,info@halcyon.com,,,1,36
onyxmininginternat-com,Onyx Mining International LLC,onyx mining international,onyxmininginternat.com,Telecom,DE,150,,,info@onyx.com,,,1,37
cedarsystemsintern-com,"Cedar,Systems International Ltd.",cedar systems international,cedarsystemsintern.com,Telecom,India,120,,,info@cedar.com,,,2,"38,127"
nimbuscloud-com,NIMBUS CLOUD LTD.,nimbus cloud,nimbuscloud.com,Healthcare,India,5,,,info@nimbus.com,,,4,"39,253,212,309"
yarrowtextiles-com,yarrow textiles co,yarrow textiles,yarrowtextiles.com,Manufacturing,DE,150,,,info@yarrow.com,,,6,"40,322,391,67,338,444"
lumenretailpartner-com,Lumen Retail Partners Ltd,lumen retail partners,lumenretailpartner.com,Healthcare,India,1200,,,info@lumen.com,,,3,"41,285,437"
emberhospitalitygl-com,EMBER HOSPITALITY GLOBAL LTD,ember hospitality global,emberhospitalitygl.com,Finance,Australia,750,,,info@ember.com,,,3,"43,105,324"
cedarsystemsglobal-com,Cedar Systems Global Ltd,cedar systems global,cedarsystemsglobal.com,Logistics,DE,260,,,info@cedar.com,,,2,"44,380"
quartzlegalglobal-com,QUARTZ LEGAL GLOBAL LTD,quartz legal global,quartzlegalglobal.com,Healthcare,United States,220,,,info@quartz.com,,,3,"48,283,417"
umbraopticsgroup-com,Umbra Optics Group Corp,umbra optics,umbraopticsgroup.com,Gaming,United States,,,,info@umbra.com,,,2,"49,315"
harborhealth-com,Harbor Health Ltd,harbor health,harborhealth.com,Hospitality,United States,130,,,info@harbor.com,,,4,"50,106,214,217"
driftapparel-com,"Drift,Apparel Incorporated",drift apparel incorporated,driftapparel.com,Manufacturing,United States,30,,,info@drift.com,,,4,"51,52,175,424"
larkspurtoys-com,LARKSPUR TOYS LTD.,larkspur toys,larkspurtoys.com,Construction,DE,600,,,info@larkspur.com,,,4,"53,228,410,443"
quillsoftwarepartn-com,Quill Software Partners,quill software partners,quillsoftwarepartn.com,Insurance,DE,87,,,info@quill.com,,,2,"54,288"
birchfurnitureinte-com,Birch Furniture International Co.,birch furniture international,birchfurnitureinte.com,Education,Germany,540,,,info@birch.com,,,2,"55,117"
xenonlabspartners-com,Xenon Labs Partners Co,xenon labs partners,xenonlabspartners.com,Construction,United Kingdom,350,,,info@xenon.com,,,1,56
pinecrestmediapart-com,PINECREST MEDIA PARTNERS CORP,pinecrest media partners,pinecrestmediapart.com,Healthcare,India,120,,,info@pinecrest.com,,,3,"57,148,382"
petalcosmeticsinte-com,Petal Cosmetics International Inc,petal cosmetics international,petalcosmeticsinte.com,,CA,,,,info@petal.com,,,1,58
cobalttelecomholdi-com,COBALT TELECOM HOLDINGS INC.,cobalt telecom,cobalttelecomholdi.com,Gaming,India,18,,,info@cobalt.com,,,2,"60,158"
junipermobilitypar-com,Juniper Mobility Partners Inc.,juniper mobility partners,junipermobilitypar.com,Energy,India,545,,,info@juniper.com,,,1,61
vantafoodsglobal-com,"VANTA,FOODS GLOBAL LTD",vanta foods global,vantafoodsglobal.com,Retail,United States,30,,,info@vanta.com,,,2,"64,272"
cedarsystems-com,Cedar Systems,cedar systems,cedarsystems.com,Education,Germany,42,,,info@cedar.com,,,4,"68,204,284,434"
yarrowtextilesgrou-com,YARROW TEXTILES GROUP CORP,yarrow textiles,yarrowtextilesgrou.com,Software,United Kingdom,750,,,,,,1,70
quartzlegalholding-com,Quartz Legal Holdings Inc.,quartz legal,quartzlegalholding.com,Healthcare,Germany,450,,,info@quartz.com,,,4,"71,86,130,129"
cobalttelecompartn-com,COBALT TELECOM PARTNERS INC,cobalt telecom partners,cobalttelecompartn.com,Healthcare,,520,,,info@cobalt.com,,,2,"72,157"
birchfurnituregrou-com,BIRCH FURNITURE GROUP CO.,birch furniture,birchfurnituregrou.com,Healthcare,India,18,,,info@birch.com,,,3,"74,305,73"
quartzlegal-com,Quartz Legal Inc.,quartz legal,quartzlegal.com,Insurance,United States,5,,,info@quartz.com,,,3,"75,114,367"
larkspurtoysholdin-com,larkspur toys holdings ltd,larkspur toys,larkspurtoysholdin.com,Pharmaceuticals,CA,450,,,info@larkspur.com,,,1,76
acorneducation-com,ACORN EDUCATION INCORPORATED,acorn education incorporated,acorneducation.com,Healthcare,Germany,1000,,,info@acorn.com,,,5,"77,112,198,300,271"
sterlingrobotics-com,Sterling Robotics Corp,sterling robotics,sterlingrobotics.com,Education,Australia,1200,,,info@sterling.com,,,6,"78,189,431,447,481,108"
meridiantravel-com,Meridian Travel Corp,meridian travel,meridiantravel.com,Insurance,Germany,5,,,info@meridian.com,,,4,"79,180,373,426"
ironwoodagritech-com,ironwood agritech incorporated,ironwood agritech incorporated,ironwoodagritech.com,Hospitality,CA,1200,,,info@ironwood.com,,,5,"81,192,314,329,446"
halcyonpharmagroup-com,"Halcyon,Pharma Group Inc.",halcyon pharma,halcyonpharmagroup.com,Finance,Australia,1000,,,info@halcyon.com,,,4,"82,172,164,252"
harborhealthintern-com,Harbor Health International,harbor health international,harborhealthintern.com,Pharmaceuticals,United Kingdom,40,,,info@harbor.com,,,1,83
acorneducationinte-com,acorn education international ltd.,acorn education international,acorneducationinte.com,Logistics,DE,200,,,info@acorn.com,,,2,"84,275"
halcyonpharmaholdi-com,"Halcyon,Pharma Holdings Inc.",halcyon pharma,halcyonpharmaholdi.com,Pharmaceuticals,India,300,,,,,,2,"85,390"
yarrowtextilespart-com,"Yarrow,Textiles Partners Co.",yarrow textiles partners,yarrowtextilespart.com,Finance,United States,130,,,info@yarrow.com,,,3,"87,122,439"
meridiantravelhold-com,Meridian Travel Holdings Co,meridian travel,meridiantravelhold.com,Gaming,United Kingdom,30,,,info@meridian.com,,,1,88
foxgloveenergypart-com,Foxglove Energy Partners,foxglove energy partners,foxgloveenergypart.com,,United States,540,,,info@foxglove.com,,,1,89
lumenretailglobal-com,"Lumen,Retail Global Inc.",lumen retail global,lumenretailglobal.com,Manufacturing,United Kingdom,245,,,info@lumen.com,,,3,"90,244,393"
driftapparelpartne-com,Drift Apparel Partners Incorporated,drift apparel partners incorporated,driftapparelpartne.com,Software,DE,55,,,info@drift.com,,,1,92
lumenretailholding-com,Lumen Retail Holdings Co.,lumen retail,lumenretailholding.com,Hospitality,CA,110,,,info@lumen.com,,,3,"93,194,341"
emberhospitality-com,"ember,hospitality ltd",ember hospitality,emberhospitality.com,Gaming,CA,520,,,info@ember.com,,,4,"94,169,286,299"
junipermobilityglo-com,JUNIPER MOBILITY GLOBAL LTD.,juniper mobility global,junipermobilityglo.com,Media,United States,30,,,info@juniper.com,,,3,"95,467,442"
graniteinsurance-com,Granite Insurance LLC,granite insurance,graniteinsurance.com,Gaming,United Kingdom,5,,,info@granite.com,,,3,"96,141,429"
quartzlegalinterna-com,Quartz Legal International Inc,quartz legal international,quartzlegalinterna.com,Energy,India,145,,,info@quartz.com,,,2,"97,251"
mosaicpaymentsgrou-com,"Mosaic,Payments Group Inc.",mosaic payments,mosaicpaymentsgrou.com,Software,United States,220,,,info@mosaic.com,,,2,"98,403"
emberhospitalitygr-com,Ember Hospitality Group Corp,ember hospitality,emberhospitalitygr.com,Pharmaceuticals,United States,600,,,info@ember.com,,,3,"100,118,184"
anchormarinepartne-com,Anchor Marine Partners Incorporated,anchor marine partners incorporated,anchormarinepartne.com,Hospitality,U.S.A.,220,,,,,,1,101
harborhealthpartne-com,HARBOR HEALTH PARTNERS INC,harbor health partners,harborhealthpartne.com,Finance,United States,1200,,,info@harbor.com,,,1,102
birchfurniturehold-com,BIRCH FURNITURE HOLDINGS LTD,birch furniture,birchfurniturehold.com,Logistics,India,245,,,info@birch.com,,,1,103
driftapparelgroup-com,"Drift,Apparel Group Ltd",drift apparel,driftapparelgroup.com,,United Kingdom,350,,,,,,1,104
saffronspicespartn-com,Saffron Spices Partners Co.,saffron spices partners,saffronspicespartn.com,Retail,Australia,540,,,info@saffron.com,,,2,"109,231"
halcyonpharma-com,Halcyon Pharma Corp,halcyon pharma,halcyonpharma.com,Software,United States,70,,,info@halcyon.com,,,3,"111,241,295"
umbraopticspartner-com,"Umbra,Optics Partners",umbra optics partners,umbraopticspartner.com,Software,,520,,,info@umbra.com,,,1,115
meridiantravelglob-com,Meridian Travel Global Corp,meridian travel global,meridiantravelglob.com,Software,Australia,30,,,info@meridian.com,,,1,116
petalcosmeticsgrou-com,"Petal,Cosmetics Group Corp",petal cosmetics,petalcosmeticsgrou.com,Finance,U.S.A.,150,,,info@petal.com,,,1,120
kestrelsecurityint-com,Kestrel Security International Ltd.,kestrel security international,kestrelsecurityint.com,Healthcare,India,350,,,info@kestrel.com,,,2,"121,414"
quillsoftware-com,Quill Software Co.,quill software,quillsoftware.com,Gaming,Germany,120,,,info@quill.com,,,2,"123,255"
sterlingroboticspa-com,Sterling Robotics Partners Co,sterling robotics partners,sterlingroboticspa.com,Hospitality,India,,,,info@sterling.com,,,1,124
saffronspicesgroup-com,Saffron Spices Group Ltd.,saffron spices,saffronspicesgroup.com,Telecom,DE,1000,,,info@saffron.com,,,2,"125,359"
vantafoodsgroup-com,VANTA FOODS GROUP CO.,vanta foods,vantafoodsgroup.com,Pharmaceuticals,Germany,130,,,info@vanta.com,,,2,"128,246"
thicketgaminggroup-com,Thicket Gaming Group Co.,thicket gaming,thicketgaminggroup.com,Gaming,India,750,,,info@thicket.com,,,3,"134,385,8"
foxgloveenergy-com,Foxglove Energy Inc,foxglove energy,foxgloveenergy.com,Construction,India,545,,,info@foxglove.com,,,4,"135,223,345,486"
pinecrestmedia-com,Pinecrest Media Incorporated,pinecrest media incorporated,pinecrestmedia.com,Hospitality,India,5,,,info@pinecrest.com,,,2,"137,181"
ironwoodagritechgr-com,Ironwood Agritech Group Inc.,ironwood agritech,ironwoodagritechgr.com,Gaming,United States,750,,,info@ironwood.com,,,2,"138,186"
emberhospitalitypa-com,Ember Hospitality Partners Corp,ember hospitality partners,emberhospitalitypa.com,Retail,United States,220,,,info@ember.com,,,1,140
ironwoodagritechin-com,"Ironwood,Agritech International Co.",ironwood agritech international,ironwoodagritechin.com,Gaming,United States,145,,,info@ironwood.com,,,3,"143,347,379"
cedarsystemsholdin-com,"cedar,systems holdings incorporated",cedar systems incorporated,cedarsystemsholdin.com,Hospitality,United States,42,,,info@cedar.com,,,1,146
xenonlabsglobal-com,Xenon Labs Global,xenon labs global,xenonlabsglobal.com,,U.S.A.,18,,,info@xenon.com,,,1,147
acorneducationglob-com,Acorn Education Global Inc,acorn education global,acorneducationglob.com,Logistics,United States,260,,,info@acorn.com,,,2,"149,482"
umbraoptics-com,UMBRA OPTICS CO,umbra optics,umbraoptics.com,Education,U.S.A.,260,,,info@umbra.com,,,2,"150,239"
onyxmininggroup-com,Onyx Mining Group Ltd,onyx mining,onyxmininggroup.com,Finance,CA,5,,,info@onyx.com,,,2,"151,267"
quillsoftwareholdi-com,quill software holdings ltd,quill software,quillsoftwareholdi.com,Construction,United States,42,,,info@quill.com,,,2,"153,292"
mosaicpaymentsglob-com,Mosaic Payments Global,mosaic payments global,mosaicpaymentsglob.com,Hospitality,CA,260,,,info@mosaic.com,,,1,154
rivethardware-com,Rivet Hardware Inc.,rivet hardware,rivethardware.com,Manufacturing,United States,42,,,info@rivet.com,,,6,"156,179,207,226,331,388"
tidelinefinancepar-com,"Tideline,Finance Partners Inc.",tideline finance partners,tidelinefinancepar.com,Pharmaceuticals,India,1000,,,info@tideline.com,,,2,"160,213"
saffronspicesholdi-com,saffron spices holdings ltd.,saffron spices,saffronspicesholdi.com,Finance,United Kingdom,300,,,info@saffron.com,,,2,"161,245"
thicketgamingholdi-com,Thicket Gaming Holdings Inc,thicket gaming,thicketgamingholdi.com,Telecom,CA,260,,,info@thicket.com,,,2,"162,321"
rivethardwareinter-com,"Rivet,Hardware International Incorporated",rivet hardware international incorporated,rivethardwareinter.com,Energy,Australia,87,,,info@rivet.com,,,3,"163,363,422"
tidelinefinanceint-com,Tideline Finance International Ltd.,tideline finance international,tidelinefinanceint.com,,Germany,130,,,,,,1,166
kestrelsecurityglo-com,kestrel security global incorporated,kestrel security global incorporated,kestrelsecurityglo.com,,Germany,5,,,info@kestrel.com,,,1,167
mosaicpaymentspart-com,Mosaic Payments Partners Inc.,mosaic payments partners,mosaicpaymentspart.com,Construction,Canada,42,,,info@mosaic.com,,,3,"170,242,365"
kestrelsecuritypar-com,Kestrel Security Partners Co.,kestrel security partners,kestrelsecuritypar.com,Telecom,Australia,18,,,info@kestrel.com,,,1,174
cedarsystemspartne-com,CEDAR SYSTEMS PARTNERS INC,cedar systems partners,cedarsystemspartne.com,Education,Australia,245,,,info@cedar.com,,,3,"176,370,468"
petalcosmeticshold-com,"PETAL,COSMETICS HOLDINGS INC",petal cosmetics,petalcosmeticshold.com,,United Kingdom,110,,,,,,1,177
junipermobilityhol-com,Juniper Mobility Holdings Corp,juniper mobility,junipermobilityhol.com,Hospitality,India,350,,,info@juniper.com,,,4,"182,413,466,479"
driftapparelholdin-com,Drift Apparel Holdings Corp,drift apparel,driftapparelholdin.com,Insurance,Germany,120,,,info@drift.com,,,3,"185,222,361"
petalcosmetics-com,Petal Cosmetics Incorporated,petal cosmetics incorporated,petalcosmetics.com,Hospitality,U.S.A.,130,,,info@petal.com,,,3,"188,211,400"
cobalttelecominter-com,Cobalt Telecom International Inc.,cobalt telecom international,cobalttelecominter.com,Education,Australia,87,,,info@cobalt.com,,,2,"191,183"
rivethardwarepartn-com,Rivet Hardware Partners Incorporated,rivet hardware partners incorporated,rivethardwarepartn.com,Gaming,Germany,42,,,info@rivet.com,,,2,"193,195"
willowchildcare-com,Willow Childcare Incorporated,willow childcare incorporated,willowchildcare.com,Software,Canada,130,,,info@willow.com,,,4,"197,227,262,261"
nimbuscloudgroup-com,"NIMBUS,CLOUD GROUP CORP",nimbus cloud,nimbuscloudgroup.com,Energy,India,350,,,info@nimbus.com,,,1,199
halcyonpharmagloba-com,Halcyon Pharma Global Inc,halcyon pharma global,halcyonpharmagloba.com,Healthcare,Germany,125,,,info@halcyon.com,,,3,"200,310,411"
quillsoftwaregroup-com,Quill Software Group Co,quill software,quillsoftwaregroup.com,Insurance,,130,,,info@quill.com,,,1,201
anchormarineintern-com,anchor marine international ltd,anchor marine international,anchormarineintern.com,,CA,,,,info@anchor.com,,,1,202
pinecrestmediagrou-com,Pinecrest Media Group Co,pinecrest media,pinecrestmediagrou.com,Logistics,Germany,260,,,info@pinecrest.com,,,4,"203,269,462,476"
halcyonpharmainter-com,Halcyon Pharma International Inc.,halcyon pharma international,halcyonpharmainter.com,Logistics,United Kingdom,87,,,info@halcyon.com,,,1,209
rivethardwareholdi-com,Rivet Hardware Holdings Co,rivet hardware,rivethardwareholdi.com,Energy,CA,130,,,info@rivet.com,,,1,218
harborhealthgroup-com,Harbor Health Group,harbor health,harborhealthgroup.com,Retail,United States,,,,info@harbor.com,,,2,"219,276"
petalcosmeticsglob-com,Petal Cosmetics Global,petal cosmetics global,petalcosmeticsglob.com,Construction,U.S.A.,540,,,info@petal.com,,,1,220
anchormarine-com,Anchor Marine Ltd.,anchor marine,anchormarine.com,Construction,U.S.A.,5,,,info@anchor.com,,,3,"224,266,372"
rivethardwaregroup-com,"Rivet,Hardware Group Ltd.",rivet hardware,rivethardwaregroup.com,Insurance,United Kingdom,520,,,info@rivet.com,,,2,"230,250"
junipermobility-com,Juniper Mobility Inc.,juniper mobility,junipermobility.com,Construction,CA,350,,,info@juniper.com,,,2,"233,339"
sterlingroboticsin-com,Sterling Robotics International Ltd,sterling robotics international,sterlingroboticsin.com,Healthcare,,300,,,info@sterling.com,,,1,234
harborhealthholdin-com,Harbor Health Holdings Inc.,harbor health,harborhealthholdin.com,Education,United States,65,,,info@harbor.com,,,2,"237,328"
onyxminingglobal-com,Onyx Mining Global Co.,onyx mining global,onyxminingglobal.com,Manufacturing,United Kingdom,5,,,info@onyx.com,,,2,"238,438"
junipermobilityint-com,"Juniper,Mobility International Incorporated",juniper mobility international incorporated,junipermobilityint.com,,CA,5,,,info@juniper.com,,,1,240
tidelinefinance-com,Tideline Finance Co.,tideline finance,tidelinefinance.com,Construction,United Kingdom,300,,,info@tideline.com,,,5,"247,304,469,397,460"
thicketgamingpartn-com,THICKET GAMING PARTNERS CORP,thicket gaming partners,thicketgamingpartn.com,Software,India,70,,,info@thicket.com,,,2,"248,302"
junipermobilitygro-com,Juniper Mobility Group Incorporated,juniper mobility incorporated,junipermobilitygro.com,Finance,U.S.A.,42,,,info@juniper.com,,,2,"256,307"
acorneducationgrou-com,ACORN EDUCATION GROUP INC.,acorn education,acorneducationgrou.com,Insurance,,520,,,info@acorn.com,,,3,"258,448,474"
quillsoftwareinter-com,Quill Software International Co,quill software international,quillsoftwareinter.com,Software,U.S.A.,545,,,info@quill.com,,,1,259
larkspurtoyspartne-com,Larkspur Toys Partners LLC,larkspur toys partners,larkspurtoyspartne.com,Retail,CA,125,,,info@larkspur.com,,,1,260
saffronspicesgloba-com,Saffron Spices Global,saffron spices global,saffronspicesgloba.com,Telecom,United Kingdom,125,,,info@saffron.com,,,1,265
harborhealthglobal-com,"harbor,health global ltd.",harbor health global,harborhealthglobal.com,Gaming,Canada,220,,,info@harbor.com,,,1,268
birchfurniture-com,Birch Furniture Inc,birch furniture,birchfurniture.com,Media,India,260,,,info@birch.com,,,3,"270,319,433"
vantafoodsinternat-com,"Vanta,Foods International Inc.",vanta foods international,vantafoodsinternat.com,Energy,United States,750,,,info@vanta.com,,,1,274
emberhospitalityho-com,Ember Hospitality Holdings Co.,ember hospitality,emberhospitalityho.com,Software,India,540,,,,,,1,277
zephyrdronespartne-com,ZEPHYR DRONES PARTNERS INC,zephyr drones partners,zephyrdronespartne.com,Gaming,United States,55,,,info@zephyr.com,,,1,278
willowchildcarepar-com,willow childcare partners co.,willow childcare partners,willowchildcarepar.com,Education,India,87,,,info@willow.com,,,1,279
cobalttelecom-com,Cobalt Telecom Inc.,cobalt telecom,cobalttelecom.com,Hospitality,United States,300,,,info@cobalt.com,,,2,"282,291"
zephyrdronesholdin-com,ZEPHYR DRONES HOLDINGS LTD.,zephyr drones,zephyrdronesholdin.com,Manufacturing,Canada,540,,,info@zephyr.com,,,1,287
meridiantravelinte-com,Meridian Travel International Inc.,meridian travel international,meridiantravelinte.com,Energy,,87,,,info@meridian.com,,,1,293
thicketgaming-com,Thicket Gaming LLC,thicket gaming,thicketgaming.com,Insurance,United States,270,,,info@thicket.com,,,3,"297,353,371"
graniteinsurancein-com,Granite Insurance International Corp,granite insurance international,graniteinsurancein.com,Media,United States,350,,,info@granite.com,,,1,298
mosaicpaymentshold-com,Mosaic Payments Holdings Ltd,mosaic payments,mosaicpaymentshold.com,,Australia,350,,,,,,1,301
petalcosmeticspart-com,"Petal,Cosmetics Partners LLC",petal cosmetics partners,petalcosmeticspart.com,Software,United Kingdom,260,,,info@petal.com,,,3,"311,159,308"
cobalttelecomgloba-com,Cobalt Telecom Global LLC,cobalt telecom global,cobalttelecomgloba.com,Finance,United Kingdom,42,,,info@cobalt.com,,,3,"312,392,398"
anchormarineglobal-com,Anchor Marine Global,anchor marine global,anchormarineglobal.com,Media,,300,,,info@anchor.com,,,1,313
pinecrestmediainte-com,"Pinecrest,Media International Ltd.",pinecrest media international,pinecrestmediainte.com,Telecom,United States,350,,,info@pinecrest.com,,,1,316
foxgloveenergyglob-com,"Foxglove,Energy Global Ltd.",foxglove energy global,foxgloveenergyglob.com,,United States,87,,,info@foxglove.com,,,1,318
larkspurtoysglobal-com,"Larkspur,Toys Global Ltd",larkspur toys global,larkspurtoysglobal.com,Insurance,United States,260,,,info@larkspur.com,,,1,320
lumenretailinterna-com,LUMEN RETAIL INTERNATIONAL INC,lumen retail international,lumenretailinterna.com,Software,India,1200,,,info@lumen.com,,,1,330
anchormarineholdin-com,Anchor Marine Holdings,anchor marine,anchormarineholdin.com,Energy,India,1200,,,info@anchor.com,,,1,333
emberhospitalityin-com,Ember Hospitality International LLC,ember hospitality international,emberhospitalityin.com,Logistics,United States,750,,,info@ember.com,,,1,334
tidelinefinancehol-com,Tideline Finance Holdings Inc.,tideline finance,tidelinefinancehol.com,Finance,U.S.A.,87,,,,,,1,335
umbraopticsglobal-com,Umbra Optics Global Co.,umbra optics global,umbraopticsglobal.com,Hospitality,DE,540,,,info@umbra.com,,,1,336
xenonlabsinternati-com,"Xenon,Labs International Ltd.",xenon labs international,xenonlabsinternati.com,Education,United States,1000,,,info@xenon.com,,,2,"337,349"
graniteinsurancegr-com,Granite Insurance Group Incorporated,granite insurance incorporated,graniteinsurancegr.com,,Germany,245,,,info@granite.com,,,2,"344,453"
zephyrdrones-com,Zephyr Drones Inc,zephyr drones,zephyrdrones.com,Finance,Australia,1000,,,info@zephyr.com,,,2,"348,383"
onyxminingpartners-com,Onyx Mining Partners Co.,onyx mining partners,onyxminingpartners.com,Pharmaceuticals,United States,130,,,,,,1,358
umbraopticsholding-com,Umbra Optics Holdings Corp,umbra optics,umbraopticsholding.com,Healthcare,United States,130,,,info@umbra.com,,,1,360
kestrelsecuritygro-com,Kestrel Security Group LLC,kestrel security,kestrelsecuritygro.com,Hospitality,,5,,,info@kestrel.com,,,1,362
thicketgaminggloba-com,"Thicket,Gaming Global Inc",thicket gaming global,thicketgaminggloba.com,Gaming,,65,,,info@thicket.com,,,1,364
foxgloveenergyhold-com,"Foxglove,Energy Holdings Corp",foxglove energy,foxgloveenergyhold.com,,CA,18,,,info@foxglove.com,,,1,366
willowchildcarehol-com,Willow Childcare Holdings LLC,willow childcare,willowchildcarehol.com,Retail,Germany,750,,,info@willow.com,,,3,"368,356,456"
zephyrdronesgroup-com,ZEPHYR DRONES GROUP INCORPORATED,zephyr drones incorporated,zephyrdronesgroup.com,,,,,,info@zephyr.com,,,1,369
anchormarinegroup-com,Anchor Marine Group Inc.,anchor marine,anchormarinegroup.com,Insurance,Germany,260,,,info@anchor.com,,,1,374
tidelinefinanceglo-com,Tideline Finance Global Inc.,tideline finance global,tidelinefinanceglo.com,,,87,,,,,,1,376
willowchildcaregro-com,Willow Childcare Group Ltd,willow childcare,willowchildcaregro.com,Logistics,,,,,,,,1,387
birchfurnitureglob-com,BIRCH FURNITURE GLOBAL CORP,birch furniture global,birchfurnitureglob.com,Hospitality,,1200,,,info@birch.com,,,1,389
lumenretailgroup-com,Lumen Retail Group Incorporated,lumen retail incorporated,lumenretailgroup.com,Healthcare,India,55,,,info@lumen.com,,,1,395
driftapparelintern-com,Drift Apparel International Ltd.,drift apparel international,driftapparelintern.com,Energy,,1200,,,info@drift.com,,,2,"399,458"
vantafoods-com,"vanta,foods incorporated",vanta foods incorporated,vantafoods.com,Gaming,United States,,,,,,,1,402
