row_number,company_name,normalized_company_name,domain,source_industry,country,employee_count_source,contact_name,contact_title,email,source,last_seen
143,"Ironwood,Agritech International Co.",ironwood agritech international,ironwoodagritechin.com,Gaming,United States,145,,,,,
144,northwind logistics ltd,northwind logistics,northwindlogistics.com,Insurance,DE,87,,,info@northwind.com,,
145,Brightpath Analytics Global Ltd,brightpath analytics global,brightpathanalytic.com,Finance,CA,,,,info@brightpath.com,,
146,"cedar,systems holdings incorporated",cedar systems incorporated,cedarsystemsholdin.com,Hospitality,United States,42,,,info@cedar.com,,
147,Xenon Labs Global,xenon labs global,xenonlabsglobal.com,,U.S.A.,18,,,info@xenon.com,,
148,"Pinecrest,Media Partners LLC",pinecrest media partners,pinecrestmediapart.com,Healthcare,CA,5,,,,,
149,Acorn Education Global Inc,acorn education global,acorneducationglob.com,Logistics,United States,260,,,,,
150,UMBRA OPTICS CO,umbra optics,umbraoptics.com,Education,U.S.A.,260,,,info@umbra.com,,
151,Onyx Mining Group Ltd,onyx mining,onyxmininggroup.com,Finance,CA,5,,,info@onyx.com,,
152,ironwood agritech holdings ltd,ironwood agritech,ironwoodagritechho.com,,Canada,540,,,,,
153,quill software holdings ltd,quill software,quillsoftwareholdi.com,Construction,United States,42,,,info@quill.com,,
154,Mosaic Payments Global,mosaic payments global,mosaicpaymentsglob.com,Hospitality,CA,260,,,info@mosaic.com,,
155,Orbit Manufacturing Group Inc.,orbit manufacturing,orbitmanufacturing.com,,Germany,87,,,info@orbit.com,,
156,Rivet Hardware Inc.,rivet hardware,rivethardware.com,Manufacturing,United States,42,,,,,
157,COBALT TELECOM PARTNERS CO,cobalt telecom partners,cobalttelecompartn.com,Healthcare,,220,,,info@cobalt.com,,
158,COBALT TELECOM HOLDINGS LTD.,cobalt telecom,cobalttelecomholdi.com,Logistics,Australia,42,,,,,
159,Petal Cosmetics Partners Co.,petal cosmetics partners,,Software,Germany,300,,,info@petal.com,,
160,"Tideline,Finance Partners Inc.",tideline finance partners,tidelinefinancepar.com,Pharmaceuticals,India,1000,,,info@tideline.com,,
161,saffron spices holdings ltd.,saffron spices,saffronspicesholdi.com,Finance,United Kingdom,,,,,,
162,Thicket Gaming Holdings Inc,thicket gaming,thicketgamingholdi.com,Telecom,CA,,,,,,
163,"Rivet,Hardware International Incorporated",rivet hardware international incorporated,rivethardwareinter.com,Energy,Australia,87,,,info@rivet.com,,
164,HALCYON PHARMA GROUP LTD.,halcyon pharma,,Education,India,125,,,info@halcyon.com,,
165,VERDANT LANDSCAPING PARTNERS CO.,verdant landscaping partners,verdantlandscaping.com,Gaming,United States,540,,,info@verdant.com,,
166,Tideline Finance International Ltd.,tideline finance international,tidelinefinanceint.com,,Germany,130,,,,,
167,kestrel security global incorporated,kestrel security global incorporated,kestrelsecurityglo.com,,Germany,5,,,info@kestrel.com,,
168,"brightpath,analytics group",brightpath analytics,brightpathanalytic.com,Healthcare,CA,750,,,info@brightpath.com,,
169,Ember Hospitality Co.,ember hospitality,emberhospitality.com,Insurance,,110,,,,,
170,Mosaic Payments Partners Inc.,mosaic payments partners,mosaicpaymentspart.com,Construction,Canada,42,,,info@mosaic.com,,
171,"BASALT,CONSTRUCTION GROUP",basalt construction,basaltconstruction.com,Insurance,United Kingdom,18,,,info@basalt.com,,
172,Halcyon Pharma Group Inc.,halcyon pharma,halcyonpharmagroup.com,,DE,87,,,info@halcyon.com,,
173,Basalt Construction Global Ltd.,basalt construction global,basaltconstruction.com,Insurance,Germany,260,,,info@basalt.com,,
174,Kestrel Security Partners Co.,kestrel security partners,kestrelsecuritypar.com,Telecom,Australia,18,,,info@kestrel.com,,
175,Drift Apparel Co.,drift apparel,driftapparel.com,Manufacturing,United States,5,,,info@drift.com,,
176,CEDAR SYSTEMS PARTNERS INC,cedar systems partners,cedarsystemspartne.com,Education,Australia,245,,,,,
177,"PETAL,COSMETICS HOLDINGS INC",petal cosmetics,petalcosmeticshold.com,,United Kingdom,110,,,,,
178,Brightpath Analytics International Corp,brightpath analytics international,brightpathanalytic.com,Energy,United Kingdom,150,,,info@brightpath.com,,
179,Rivet Hardware Co,rivet hardware,rivethardware.com,Gaming,,70,,,info@rivet.com,,
180,"Meridian,Travel Inc.",meridian travel,meridiantravel.com,Manufacturing,India,300,,,info@meridian.com,,
181,Pinecrest Media Corp,pinecrest media,pinecrestmedia.com,,India,110,,,info@pinecrest.com,,
182,Juniper Mobility Holdings Corp,juniper mobility,junipermobilityhol.com,Hospitality,India,350,,,info@juniper.com,,
183,cobalt telecom international co,cobalt telecom international,,Construction,Australia,540,,,info@cobalt.com,,
184,Ember Hospitality Group Ltd.,ember hospitality,emberhospitalitygr.com,Pharmaceuticals,CA,,,,info@ember.com,,
185,Drift Apparel Holdings Corp,drift apparel,driftapparelholdin.com,Insurance,Germany,120,,,,,
186,Ironwood Agritech Group LLC,ironwood agritech,ironwoodagritechgr.com,Gaming,United States,,,,info@ironwood.com,,
187,Ironwood Agritech Holdings Inc.,ironwood agritech,ironwoodagritechho.com,,United States,120,,,info@ironwood.com,,
188,Petal Cosmetics Incorporated,petal cosmetics incorporated,petalcosmetics.com,,U.S.A.,130,,,info@petal.com,,
189,Sterling Robotics Ltd,sterling robotics,sterlingrobotics.com,,Canada,,,,,,
190,Orbit Manufacturing Holdings Corp,orbit manufacturing,orbitmanufacturing.com,,DE,,,,,,
191,Cobalt Telecom International Inc.,cobalt telecom international,cobalttelecominter.com,Education,Australia,87,,,info@cobalt.com,,
192,Ironwood Agritech Inc.,ironwood agritech,ironwoodagritech.com,Pharmaceuticals,India,87,,,,,
193,Rivet Hardware Partners Incorporated,rivet hardware partners incorporated,rivethardwarepartn.com,Gaming,Germany,42,,,info@rivet.com,,
194,lumen retail holdings co,lumen retail,lumenretailholding.com,Healthcare,CA,260,,,info@lumen.com,,
195,rivet hardware partners ltd,rivet hardware partners,rivethardwarepartn.com,Gaming,Germany,520,,,info@rivet.com,,
196,Willow Childcare International Ltd,willow childcare international,willowchildcareint.com,Media,CA,130,,,info@willow.com,,
197,Willow Childcare Incorporated,willow childcare incorporated,willowchildcare.com,Software,Canada,130,,,info@willow.com,,
198,Acorn Education Incorporated,acorn education incorporated,acorneducation.com,Education,United Kingdom,270,,,info@acorn.com,,
199,"NIMBUS,CLOUD GROUP CORP",nimbus cloud,nimbuscloudgroup.com,Energy,India,350,,,info@nimbus.com,,
200,Halcyon Pharma Global Inc,halcyon pharma global,halcyonpharmagloba.com,Healthcare,Germany,125,,,,,
201,Quill Software Group Co,quill software,quillsoftwaregroup.com,Insurance,,130,,,info@quill.com,,
202,anchor marine international ltd,anchor marine international,anchormarineintern.com,,CA,,,,info@anchor.com,,
203,Pinecrest Media Group Co,pinecrest media,pinecrestmediagrou.com,Logistics,Germany,260,,,info@pinecrest.com,,
204,Cedar Systems,cedar systems,cedarsystems.com,Construction,DE,42,,,info@cedar.com,,
205,nimbus cloud international inc,nimbus cloud international,,Media,India,1200,,,info@nimbus.com,,
206,northwind logistics holdings corp,northwind logistics,northwindlogistics.com,Finance,,,,,info@northwind.com,,
207,Rivet Hardware Ltd.,rivet hardware,rivethardware.com,,United States,1000,,,info@rivet.com,,
209,Halcyon Pharma International Inc.,halcyon pharma international,halcyonpharmainter.com,Logistics,United Kingdom,87,,,info@halcyon.com,,
210,"ZEPHYR,DRONES INTERNATIONAL CO.",zephyr drones international,zephyrdronesintern.com,,United Kingdom,18,,,info@zephyr.com,,
211,petal cosmetics inc,petal cosmetics,petalcosmetics.com,Hospitality,Australia,520,,,,,
212,"Nimbus,Cloud Group LLC",nimbus cloud,,,United States,130,,,info@nimbus.com,,
213,"Tideline,Finance Partners Inc.",tideline finance partners,tidelinefinancepar.com,Pharmaceuticals,United Kingdom,750,,,info@tideline.com,,
214,Harbor Health Co,harbor health,,,United Kingdom,130,,,info@harbor.com,,
215,Verdant Landscaping Ltd,verdant landscaping,verdantlandscaping.com,Manufacturing,India,130,,,info@verdant.com,,
216,Xenon Labs,xenon labs,xenonlabs.com,Insurance,Australia,545,,,info@xenon.com,,
217,"harbor,health group corp",harbor health,,Media,U.S.A.,600,,,info@harbor.com,,
218,Rivet Hardware Holdings Co,rivet hardware,rivethardwareholdi.com,Energy,CA,130,,,info@rivet.com,,
219,Harbor Health Group,harbor health,harborhealthgroup.com,Retail,United States,,,,info@harbor.com,,
220,Petal Cosmetics Global,petal cosmetics global,petalcosmeticsglob.com,Construction,U.S.A.,540,,,info@petal.com,,
221,XENON LABS CORP,xenon labs,xenonlabs.com,,Australia,1200,,,,,
222,Drift Apparel Holdings Co,drift apparel,driftapparelholdin.com,Insurance,Australia,,,,info@drift.com,,
223,"Foxglove,Energy LLC",foxglove energy,foxgloveenergy.com,Construction,,540,,,info@foxglove.com,,
224,Anchor Marine Ltd.,anchor marine,anchormarine.com,Construction,U.S.A.,,,,info@anchor.com,,
225,Orbit Manufacturing Holdings Inc.,orbit manufacturing,orbitmanufacturing.com,Telecom,India,600,,,info@orbit.com,,
226,RIVET HARDWARE LTD,rivet hardware,rivethardware.com,Telecom,United States,87,,,info@rivet.com,,
227,"Willow,Childcare Incorporated",willow childcare incorporated,willowchildcare.com,Manufacturing,United States,5,,,info@willow.com,,
228,Larkspur Toys Corp,larkspur toys,larkspurtoys.com,Healthcare,India,120,,,,,
229,BASALT CONSTRUCTION INTERNATIONAL INC.,basalt construction international,basaltconstruction.com,Insurance,Germany,65,,,info@basalt.com,,
230,"Rivet,Hardware Group Ltd.",rivet hardware,rivethardwaregroup.com,Insurance,United Kingdom,520,,,info@rivet.com,,
231,Saffron Spices Partners Co,saffron spices partners,saffronspicespartn.com,,Australia,,,,info@saffron.com,,
232,"Granite,Insurance Partners Inc.",granite insurance partners,graniteinsurancepa.com,Pharmaceuticals,United States,1200,,,info@granite.com,,
233,Juniper Mobility Inc.,juniper mobility,junipermobility.com,Construction,CA,350,,,info@juniper.com,,
234,Sterling Robotics International Ltd,sterling robotics international,sterlingroboticsin.com,Healthcare,,300,,,info@sterling.com,,
235,KESTREL SECURITY INCORPORATED,kestrel security incorporated,kestrelsecurity.com,Logistics,CA,5,,,info@kestrel.com,,
236,Lumen Retail LLC,lumen retail,lumenretail.com,Construction,United Kingdom,1200,,,,,
237,Harbor Health Holdings Inc.,harbor health,harborhealthholdin.com,,United States,65,,,info@harbor.com,,
238,Onyx Mining Global Co.,onyx mining global,onyxminingglobal.com,,United Kingdom,5,,,info@onyx.com,,
239,Umbra Optics Co,umbra optics,umbraoptics.com,Construction,United Kingdom,42,,,info@umbra.com,,
240,"Juniper,Mobility International Incorporated",juniper mobility international incorporated,junipermobilityint.com,,CA,5,,,info@juniper.com,,
241,halcyon pharma,halcyon pharma,halcyonpharma.com,Software,Australia,130,,,info@halcyon.com,,
242,MOSAIC PAYMENTS PARTNERS INC.,mosaic payments partners,mosaicpaymentspart.com,Retail,United Kingdom,1200,,,info@mosaic.com,,
243,Onyx Mining Corp,onyx mining,onyxmining.com,,India,18,,,info@onyx.com,,
244,Lumen Retail Global Inc.,lumen retail global,lumenretailglobal.com,Manufacturing,United Kingdom,30,,,,,
245,saffron spices holdings inc,saffron spices,saffronspicesholdi.com,Manufacturing,CA,300,,,info@saffron.com,,
246,Vanta Foods Ltd.,vanta foods,,Gaming,United States,,,,info@vanta.com,,
247,Tideline Finance Co.,tideline finance,tidelinefinance.com,Construction,United Kingdom,300,,,info@tideline.com,,
248,THICKET GAMING PARTNERS CORP,thicket gaming partners,thicketgamingpartn.com,Software,India,70,,,info@thicket.com,,
249,Sterling Robotics Group Co,sterling robotics,sterlingroboticsgr.com,Construction,CA,1200,,,info@sterling.com,,
250,RIVET HARDWARE GROUP CO.,rivet hardware,rivethardwaregroup.com,Healthcare,CA,750,,,info@rivet.com,,
251,"Quartz,Legal International Incorporated",quartz legal international incorporated,quartzlegalinterna.com,Logistics,India,,,,,,
252,"halcyon,pharma holdings co.",halcyon pharma,,Pharmaceuticals,,260,,,info@halcyon.com,,
253,Nimbus Cloud Incorporated,nimbus cloud incorporated,nimbuscloud.com,Gaming,India,5,,,info@nimbus.com,,
254,Xenon Labs Co,xenon labs,xenonlabs.com,Manufacturing,United Kingdom,270,,,info@xenon.com,,
